time,OPENET_ID,SWU_ID,et,acres,acre-feet
2023-03-01,ORx_25362,SWU_UMAT0012,2.578,3.67,0.788
2023-03-01,ORx_24912,SWU_UMAT0008,1.899,2.562,0.405
2023-03-01,ORx_24915,SWU_UMAT0008,1.537,9.296,1.191
2023-04-01,ORx_25334,SWU_UMAT0013,3.726,4.965,1.542
2023-04-01,ORx_25179,SWU_UMAT0013,3.784,0.958,0.302
2023-04-01,ORx_25338,SWU_UMAT0013,3.788,4.24,1.338
2023-04-01,ORx_25362,SWU_UMAT0012,3.847,3.67,1.177
2023-04-01,ORx_24912,SWU_UMAT0008,3.343,2.562,0.714
2023-04-01,ORx_24915,SWU_UMAT0008,2.5,9.296,1.937
2023-05-01,ORx_25334,SWU_UMAT0013,6.323,4.965,2.616
2023-05-01,ORx_25179,SWU_UMAT0013,6.336,0.958,0.506
2023-05-01,ORx_25338,SWU_UMAT0013,6.355,4.24,2.245
2023-05-01,ORx_25362,SWU_UMAT0012,6.39,3.67,1.954
2023-05-01,ORx_24912,SWU_UMAT0008,4.743,2.562,1.013
2023-05-01,ORx_24915,SWU_UMAT0008,3.631,9.296,2.813
2023-06-01,ORx_25334,SWU_UMAT0013,7.177,4.965,2.969
2023-06-01,ORx_25179,SWU_UMAT0013,7.196,0.958,0.574
2023-06-01,ORx_25338,SWU_UMAT0013,7.218,4.24,2.55
2023-06-01,ORx_25362,SWU_UMAT0012,7.163,3.67,2.191
2023-06-01,ORx_24912,SWU_UMAT0008,5.063,2.562,1.081
2023-06-01,ORx_24915,SWU_UMAT0008,6.228,9.296,4.825
2023-07-01,ORx_25334,SWU_UMAT0013,8.918,4.965,3.69
2023-07-01,ORx_25179,SWU_UMAT0013,9.098,0.958,0.726
2023-07-01,ORx_25338,SWU_UMAT0013,9.065,4.24,3.203
2023-07-01,ORx_25362,SWU_UMAT0012,9.099,3.67,2.783
2023-07-01,ORx_24912,SWU_UMAT0008,6.349,2.562,1.356
2023-07-01,ORx_24915,SWU_UMAT0008,6.276,9.296,4.862
2023-08-01,ORx_25334,SWU_UMAT0013,7.609,4.965,3.148
2023-08-01,ORx_25179,SWU_UMAT0013,7.653,0.958,0.611
2023-08-01,ORx_25338,SWU_UMAT0013,7.608,4.24,2.688
2023-08-01,ORx_25362,SWU_UMAT0012,7.688,3.67,2.351
2023-08-01,ORx_24912,SWU_UMAT0008,5.405,2.562,1.154
2023-08-01,ORx_24915,SWU_UMAT0008,5.783,9.296,4.48
2023-09-01,ORx_25334,SWU_UMAT0013,4.607,4.965,1.906
2023-09-01,ORx_25179,SWU_UMAT0013,4.633,0.958,0.37
2023-09-01,ORx_25338,SWU_UMAT0013,4.604,4.24,1.627
2023-09-01,ORx_25362,SWU_UMAT0012,4.642,3.67,1.42
2023-09-01,ORx_24912,SWU_UMAT0008,3.667,2.562,0.783
2023-09-01,ORx_24915,SWU_UMAT0008,4.04,9.296,3.13
2023-10-01,ORx_25334,SWU_UMAT0013,2.19,4.965,0.906
2023-10-01,ORx_25179,SWU_UMAT0013,2.193,0.958,0.175
2023-10-01,ORx_25338,SWU_UMAT0013,2.198,4.24,0.777
2023-10-01,ORx_25362,SWU_UMAT0012,2.199,3.67,0.673
2023-10-01,ORx_24912,SWU_UMAT0008,2.017,2.562,0.431
2023-10-01,ORx_24915,SWU_UMAT0008,1.945,9.296,1.507
2023-11-01,ORx_25334,SWU_UMAT0013,1.059,4.965,0.438
2023-11-01,ORx_25179,SWU_UMAT0013,1.063,0.958,0.085
2023-11-01,ORx_25338,SWU_UMAT0013,1.062,4.24,0.375
2023-11-01,ORx_25362,SWU_UMAT0012,1.037,3.67,0.317
2023-11-01,ORx_24912,SWU_UMAT0008,1.02,2.562,0.218
2023-11-01,ORx_24915,SWU_UMAT0008,1.021,9.296,0.791
2023-12-01,ORx_25334,SWU_UMAT0013,0.863,4.965,0.357
2023-12-01,ORx_25179,SWU_UMAT0013,0.907,0.958,0.072
2023-12-01,ORx_25338,SWU_UMAT0013,0.928,4.24,0.328
2023-12-01,ORx_25362,SWU_UMAT0012,0.827,3.67,0.253
2023-12-01,ORx_24912,SWU_UMAT0008,0.073,2.562,0.016
2023-12-01,ORx_24915,SWU_UMAT0008,0.036,9.296,0.028
