time,OPENET_ID,SWU_ID,et,acres,acre-feet
2023-07-01,ORx_25362,SWU_UMAT0012,7.442,3.67,2.276
2023-07-01,ORx_24912,SWU_UMAT0008,5.815,2.562,1.242
2023-07-01,ORx_24915,SWU_UMAT0008,5.644,9.296,4.372
2023-08-01,ORx_25334,SWU_UMAT0013,5.63,4.965,2.329
2023-08-01,ORx_25179,SWU_UMAT0013,5.671,0.958,0.453
2023-08-01,ORx_25338,SWU_UMAT0013,5.301,4.24,1.873
2023-08-01,ORx_25362,SWU_UMAT0012,6.04,3.67,1.847
2023-08-01,ORx_24912,SWU_UMAT0008,4.94,2.562,1.055
2023-08-01,ORx_24915,SWU_UMAT0008,4.894,9.296,3.791
2023-09-01,ORx_25334,SWU_UMAT0013,3.224,4.965,1.334
2023-09-01,ORx_25179,SWU_UMAT0013,3.168,0.958,0.253
2023-09-01,ORx_25338,SWU_UMAT0013,3.208,4.24,1.133
2023-09-01,ORx_25362,SWU_UMAT0012,3.497,3.67,1.069
2023-09-01,ORx_24912,SWU_UMAT0008,2.941,2.562,0.628
2023-09-01,ORx_24915,SWU_UMAT0008,2.956,9.296,2.29
2023-10-01,ORx_25334,SWU_UMAT0013,2.007,4.965,0.83
2023-10-01,ORx_25179,SWU_UMAT0013,2.028,0.958,0.162
2023-10-01,ORx_25338,SWU_UMAT0013,1.978,4.24,0.699
2023-10-01,ORx_25362,SWU_UMAT0012,2.097,3.67,0.641
2023-10-01,ORx_24912,SWU_UMAT0008,1.693,2.562,0.361
2023-10-01,ORx_24915,SWU_UMAT0008,1.609,9.296,1.246
2023-11-01,ORx_25334,SWU_UMAT0013,0.705,4.965,0.292
2023-11-01,ORx_25179,SWU_UMAT0013,0.483,0.958,0.039
2023-11-01,ORx_25338,SWU_UMAT0013,0.706,4.24,0.249
2023-11-01,ORx_25362,SWU_UMAT0012,0.701,3.67,0.214
2023-11-01,ORx_24912,SWU_UMAT0008,0.999,2.562,0.213
2023-11-01,ORx_24915,SWU_UMAT0008,0.992,9.296,0.768
2023-12-01,ORx_25334,SWU_UMAT0013,0.314,4.965,0.13
2023-12-01,ORx_25179,SWU_UMAT0013,0.321,0.958,0.026
2023-12-01,ORx_25338,SWU_UMAT0013,0.468,4.24,0.165
2023-12-01,ORx_25362,SWU_UMAT0012,0.193,3.67,0.059
2023-12-01,ORx_24912,SWU_UMAT0008,0.141,2.562,0.03
2023-12-01,ORx_24915,SWU_UMAT0008,0.109,9.296,0.084
